"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"1_pcg_266700","Créances diverses","266700","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_266800","Autres créances non courantes","266800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_269000","Versements restant a effectuer sur titres immobilises non libérés","269000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_271000","Frais préliminaires","271000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_272000","Charges a repartir","272000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_273000","Frais d’émission et primes de remboursement des emprunts","273000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_275000","Écarts de conversion","275000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_278000","Autres","278000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_281000","Amortissements des immobilisations incorporelles (même ventilation que celle du compte 21)","281000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_282000","Amortissements des immobilisations corporelles (même ventilation que celle du compte 22)","282000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_284000","Amortissements des immobilisations a statut juridique particulier","284000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_291000","Provisions pour dépréciation des immobilisations incorporelles (même ventilation que celle du compte 21)","291000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_292000","Provisions pour dépréciation des immobilisations corporelles (même ventilation que celle du compte 22)","292000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_293000","Provisions pour dépréciation des immobilisations en cours (même ventilation que celle du compte 23)","293000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_294000","Provisions pour dépréciation des immobilisations a statut juridique particulier","294000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_295000","Provisions pour dépréciation des participations et des créances liées a des participations (même ventilation que celle du compte","295000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_296000","Provisions pour dépréciation des autres immobilisations financières (même ventilation que celle du compte 26)","296000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_311000","Matières premières","311000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_313000","Fournitures","313000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
